Lexeme			Token			Line Number
(			LEFT_PAREN			117
tete			IDENTIFIER			117
,			 COMMA 			117
_t2			IDENTIFIER			117
)			RIGHT_PAREN			117
;			SEMICOLON			117
return			RETURN			119
1			CONSTANT			119
;			SEMICOLON			119
}			RIGHT_BRACE			121
