Lexeme			Token			Line Number
q			IDENTIFIER			59
;			SEMICOLON			59
}			RIGHT_BRACE			61
struct			STRUCT			65
liste			IDENTIFIER			65
*			MULTIPLY			65
parcours			IDENTIFIER			65
(			LEFT_PAREN			65
struct			STRUCT			65
liste			IDENTIFIER			65
*			MULTIPLY			65
l			IDENTIFIER			65
,			COMMA			65
struct			STRUCT			65
liste			IDENTIFIER			65
*			MULTIPLY			65
(			LEFT_PAREN			65
*			MULTIPLY			65
f			IDENTIFIER			65
)			RIGHT_PAREN			65
(			LEFT_PAREN			65
struct			STRUCT			65
liste			IDENTIFIER			65
*			MULTIPLY			65
p			IDENTIFIER			65
)			RIGHT_PAREN			65
)			RIGHT_PAREN			65
{			LEFT_BRACE			65
int			INT			67
i			IDENTIFIER			67
;			SEMICOLON			67
struct			STRUCT			69
liste			IDENTIFIER			69
*			MULTIPLY			69
p			IDENTIFIER			69
;			SEMICOLON			69
struct			STRUCT			71
liste			IDENTIFIER			71
*			MULTIPLY			71
tete			IDENTIFIER			71
;			SEMICOLON			71
tete			IDENTIFIER			73
=			ASSIGN			73
p			IDENTIFIER			73
=			ASSIGN			73
f			IDENTIFIER			73
(			LEFT_PAREN			73
l			IDENTIFIER			73
)			RIGHT_PAREN			73
;			SEMICOLON			73
for			FOR			75
(			LEFT_PAREN			75
i			IDENTIFIER			75
=			ASSIGN			75
0			CONSTANT			75
;			SEMICOLON			75
i			IDENTIFIER			75
<			LESS_THAN			75
100			CONSTANT			75
;			SEMICOLON			75
i			IDENTIFIER			75
=			ASSIGN			75
i			IDENTIFIER			75
+			PLUS			75
1			CONSTANT			75
)			RIGHT_PAREN			75
{			LEFT_BRACE			75
p			IDENTIFIER			77
=			ASSIGN			77
f			IDENTIFIER			77
(			LEFT_PAREN			77
p			IDENTIFIER			77
)			RIGHT_PAREN			77
;			SEMICOLON			77
}			RIGHT_BRACE			79
return			RETURN			81
tete			IDENTIFIER			81
;			SEMICOLON			81
}			RIGHT_BRACE			83
int			INT			87
main			IDENTIFIER			87
(			LEFT_PAREN			87
)			RIGHT_PAREN			87
{			LEFT_BRACE			87
struct			STRUCT			89
liste			IDENTIFIER			89
*			MULTIPLY			89
tete			IDENTIFIER			89
;			SEMICOLON			89
tete			IDENTIFIER			91
=			ASSIGN			91
parcours			IDENTIFIER			91
(			LEFT_PAREN			91
0			CONSTANT			91
,			COMMA			91
&			ADDRESS			91
allouer			IDENTIFIER			91
)			RIGHT_PAREN			91
;			SEMICOLON			91
parcours			IDENTIFIER			93
(			LEFT_PAREN			93
tete			IDENTIFIER			93
,			COMMA			93
&			ADDRESS			93
desallouer			IDENTIFIER			93
)			RIGHT_PAREN			93
;			SEMICOLON			93
return			RETURN			95
1			CONSTANT			95
;			SEMICOLON			95
}			RIGHT_BRACE			97
